,,Profile dimensions,,,,,Area properties,,,,,Inertia properties about major axis y-y,,,,Inertia properties about minor axis z-z,,,,Torsional & warping properties,,,,Axial force & shear resistance,,,Bending major axis y-y,,Bending minor axis z-z,,Buckling curve,,Section classification,,
Profile,Drawing,Depth,Width,Web thickness,Flange thickness,Root radius,Weight,Perimeter,Area,Shear area z-z,Shear area y-y,Second moment of area,Radius of gyration,Elastic section modulus,Plastic section modulus,Second moment of area,Radius of gyration,Elastic section modulus,Plastic section modulus,Torsion constant,Torsion modulus,Warping constant,Warping modulus,Design plastic axial force resistance,Design plastic shear force resistance z-z,Design plastic shear force resistance y-y,Design elastic bending moment resistance,Design plastic bending moment resistance,Design elastic bending moment resistance,Design plastic bending moment resistance,Buckling about major axis y-y,Buckling about minor axis z-z,Web in pure bending about major axis y-y,Web in pure uniform compression,Flanges in uniform compression due to axial force or bending moment
,,h,b,tw,tf,r,m,P,A,"Av,z","Av,y",Iy,iy,"Wel,y","Wpl,y",Iz,iz,"Wel,z","Wpl,z",IT,WT,Iw,Ww,"Npl,Rd","Vpl,Rd,z","Vpl,Rd,y","Mel,Rd,y","Mpl,Rd,y","Mel,Rd,z","Mpl,Rd,z",,,,,
,,[mm],[mm],[mm],[mm],[mm],[kg/m],[m],[mm2],[mm2],[mm2],[×106 mm4],[mm],[×103 mm3],[×103 mm3],[×106 mm4],[mm],[×103 mm3],[×103 mm3],[×103 mm4],[×103 mm3],[×106 mm6],[×103 mm4],[kN],[kN],[kN],[kNm],[kNm],[kNm],[kNm],,,,,
,,,,,,,,,,(for η=1.2),,,,,,,,,,,,,,,,,,,,,,,,,
UB460x280x213,dxf,495,285,18.5,33.5,20,214.7,2.059,27356,10221,19095,1154,205.4,4664,5325,129.5,68.8,909.1,1402,8430,455.7,6900000,209800,9711.51,2094.91,3913.7,1655.89,1890.5,322.73,497.66,a,b,1,1,1
UB460x280x235,dxf,501,287,20.6,36.6,20,236.8,2.074,30164,11374,21008,1285,206.4,5128,5893,144.6,69.2,1008,1558,11060,536.9,7800000,234100,10708.38,2331.21,4305.87,1820.38,2091.87,357.71,553.02,a,b,1,1,1
UB460x280x260,dxf,509,289,22.6,40.4,20,262,2.094,33372,12550,23351,1448,208.3,5690,6579,163,69.9,1128,1747,14790,654.4,8950000,264400,11847.02,2572.18,4786.05,2019.85,2335.59,400.52,620.26,b,c,1,1,1
UB460x280x286,dxf,517,291,24.4,44.4,20,287.6,2.115,36632,13651,25841,1622,210.4,6274,7297,183,70.7,1258,1949,19420,795.9,10200000,296700,13004.45,2797.86,5296.31,2227.33,2590.3,446.42,692.03,b,c,1,1,1
UB460x280x315,dxf,525,293,26.9,48.5,20,316.2,2.134,40278,15101,28421,1810,212,6894,8075,204.1,71.2,1393,2165,25370,943.1,11600000,332300,14298.53,3095.13,5825.15,2447.36,2866.68,494.66,768.72,b,c,1,1,1
UB533x165x66,dxf,525,165,8.9,11.4,13,65.7,1.67,8370,5360,3764,350.3,204.6,1335,1561,8.588,32,104,166.3,320,35.96,566000,26720,2971.22,1098.64,771.52,473.99,554.13,36.93,59.04,a,b,1,4,1
UB533x165x74,dxf,529,166,9.7,13.6,13,74.7,1.681,9519,5842,4512,410.6,207.7,1552,1808,10.4,33,125.3,200,479,49.38,691000,32320,3379.37,1197.4,924.87,550.96,641.95,44.5,71.01,a,b,1,4,1
UB533x165x85,dxf,535,166,10.3,16.5,13,84.8,1.693,10803,6203,5494,486.3,212.2,1818,2107,12.75,34.4,153.1,243.1,738,71.65,857000,39720,3834.9,1271.46,1126.15,645.51,748.05,54.36,86.31,a,b,1,4,1
UB533x210x82,dxf,528,209,9.6,13.2,13,82.2,1.851,10469,5782,5512,475.4,213.1,1800,2059,20.07,43.8,192.3,300.4,515,53.65,1330000,49460,3716.5,1185.05,1129.8,638.89,730.81,68.26,106.63,a,b,1,4,1
UB533x210x92,dxf,533,209,10.1,15.6,13,92.1,1.861,11738,6083,6530,552.3,216.9,2072,2360,23.89,45.1,228.3,355.6,757,74.95,1600000,59090,4166.92,1246.77,1338.42,735.54,837.83,81.04,126.23,a,b,1,4,1
UB533x210x101,dxf,537,210,10.8,17.4,13,101,1.87,12867,6505,7308,615.2,218.7,2292,2612,26.92,45.7,256.4,399.4,1010,93.52,1810000,66390,4567.78,1333.18,1497.84,813.83,927.26,91.01,141.8,a,b,1,4,1
UB533x210x109,dxf,540,211,11.6,18.8,13,109,1.877,13887,6986,7926,668.2,219.4,2477,2828,29.43,46,279.2,435.8,1260,108.6,1990000,72520,4929.73,1431.94,1624.52,879.4,1004.09,99.11,154.7,a,b,1,4,1
UB533x210x122,dxf,544,212,12.7,21.3,13,122,1.889,15540,7649,9027,760.4,221.2,2793,3196,33.88,46.7,319.7,499.7,1780,140.2,2320000,83700,5516.53,1567.73,1850.16,991.56,1134.44,113.5,177.4,a,b,1,4,1
UB533x210x138,dxf,549,214,14.7,23.6,13,138.3,1.903,17612,8854,10096,860.9,221.1,3136,3613,38.64,46.8,361.3,568.4,2500,170.1,2670000,95010,6252.42,1814.61,2069.29,1113.14,1282.56,128.26,201.79,a,b,1,3,1
UB533x312x150,dxf,542,312,12.7,20.3,13,150.6,2.286,19180,7649,12667,1006,229.1,3710,4142,102.9,73.2,659.3,1010,2160,170.1,7010000,172100,6808.82,1567.73,2596.26,1317.04,1470.25,234.06,358.39,a,b,1,4,1
UB533x312x165,dxf,546,313,14,22.2,13,165.3,2.294,21058,8427,13897,1110,229.5,4064,4555,113.6,73.4,725.8,1113,2830,202.1,7790000,190100,7475.61,1727.17,2848.36,1442.83,1616.89,257.66,395.26,a,b,1,3,1
UB533x312x182,dxf,551,314,15.2,24.4,13,181.5,2.307,23115,9155,15348,1232,230.9,4475,5030,126.7,74,805.5,1237,3730,245.4,8770000,211900,8205.8,1876.33,3145.63,1588.66,1785.76,285.95,439.18,a,b,1,3,1
UB533x312x196,dxf,554,316,16.5,26.3,13,196.5,2.317,25033,9928,16622,1340,231.4,4837,5457,138.5,74.4,876.7,1349,4700,284.8,9640000,231200,8886.77,2034.78,3406.75,1717.24,1937.22,311.23,478.81,a,b,1,2,1
UB533x312x219,dxf,560,317,18.3,29.2,13,218.7,2.332,27859,11022,18536,1510,232.8,5389,6109,155.9,74.8,982.3,1515,6420,350.8,11000000,261000,9890.08,2259.01,3799.16,1913.13,2168.73,348.72,537.66,a,b,1,1,1
UB533x312x248,dxf,571,315,19,34.5,13,246.6,2.342,31411,11446,21735,1775,237.7,6217,7062,180,75.7,1143,1759,9770,514.2,13000000,307700,11151.07,2345.88,4454.79,2207.08,2506.94,405.78,624.32,a,b,1,1,1
UB533x312x272,dxf,577,320,21.1,37.6,13,273.2,2.371,34808,12708,24079,1986,238.9,6882,7858,206.1,77,1288,1985,12880,610.4,15000000,347300,12356.69,2604.65,4935.22,2443.08,2789.75,457.11,704.76,a,b,1,1,1
UB610x178x82,dxf,599,178,10,12.8,20,83.4,1.854,10628,6876,4554,574.9,232.6,1921,2252,12.09,33.7,136,220.1,570,57,1040000,39920,3772.8,1409.3,933.43,681.85,799.32,48.27,78.14,a,b,1,4,1
UB610x178x92,dxf,603,179,10.9,15,20,93.8,1.865,11953,7495,5364,661.9,235.3,2196,2569,14.39,34.7,161,260.2,810,74.31,1240000,47180,4243.34,1536.14,1099.4,779.41,911.84,57.14,92.37,a,b,1,4,1
UB610x178x100,dxf,607,179,11.3,17.2,20,101.9,1.875,12983,7770,6164,741.5,239,2441,2844,16.61,35.8,185.3,297.9,1070,94.69,1450000,54840,4608.87,1592.51,1263.47,866.7,1009.44,65.79,105.77,a,b,1,4,1
UB610x229x101,dxf,603,228,10.5,14.8,20,102.8,2.06,13097,7220,6737,774,243.1,2569,2939,29.17,47.2,256.4,402.5,867,82.57,2520000,75350,4649.37,1479.77,1380.8,911.92,1043.24,91.01,142.87,a,b,1,4,1
UB610x229x113,dxf,608,228,11.1,17.3,20,114.6,2.071,14599,7632,7896,889.4,246.8,2927,3338,34.37,48.5,301.2,471.5,1230,110.8,2990000,88790,5182.78,1564.32,1618.3,1039.25,1185.12,106.93,167.4,a,b,1,4,1
UB610x229x125,dxf,612,229,11.9,19.6,20,126.7,2.082,16139,8182,8977,1002,249.2,3274,3733,39.35,49.4,343.7,537.8,1680,141.2,3450000,101700,5729.3,1677.07,1839.88,1162.39,1325.37,122.01,190.91,a,b,1,4,1
